"date","close","volume","open","high","low"
"15:05","28.70","33,919,346","28.28","29.50","27.75"
"2018/06/20","26.1800","12831300.0000","26.2200","26.3900","25.8350"
"2018/06/19","25.9900","10292060.0000","25.7900","26.1300","25.4925"
"2018/06/18","26.0100","8484052.0000","25.6900","26.2800","25.6500"
"2018/06/15","25.8800","15317150.0000","25.8900","26.1385","25.7800"
"2018/06/14","26.1600","9914965.0000","26.2800","26.4800","26.1600"
"2018/06/13","26.0100","14093100.0000","25.7800","26.3100","25.6100"
"2018/06/12","25.6900","13985850.0000","25.6300","25.8800","25.5000"
"2018/06/11","25.5400","16017400.0000","25.4800","25.9900","25.4500"
"2018/06/08","25.3600","9620876.0000","24.9200","25.4950","24.8500"
"2018/06/07","24.9800","11062840.0000","24.6700","25.1700","24.6700"
"2018/06/06","24.6800","10379660.0000","24.9200","24.9500","24.6200"
"2018/06/05","24.9100","11806430.0000","24.8200","25.1300","24.7800"
"2018/06/04","24.7500","12916110.0000","24.5000","24.8400","24.4450"
"2018/06/01","24.4200","8364210.0000","24.3300","24.5350","24.2400"
"2018/05/31","24.3300","17198780.0000","24.9800","25.1200","24.3200"
"2018/05/30","24.9800","17992900.0000","24.5600","25.0600","24.3700"
"2018/05/29","24.5000","9552198.0000","24.5200","24.6100","24.3500"
"2018/05/25","24.6100","23186820.0000","24.4700","24.8750","24.3400"
"2018/05/24","24.5600","11076960.0000","24.5800","24.6700","24.2500"
"2018/05/23","24.5700","11640970.0000","24.6000","24.7100","24.3500"
"2018/05/22","24.7000","15211980.0000","24.8200","25.0400","24.6900"
"2018/05/21","24.7700","14441410.0000","25.0700","25.0800","24.6500"
"2018/05/18","24.8900","18087600.0000","25.2900","25.3900","24.6700"
"2018/05/17","25.3000","16017720.0000","25.6900","26.3700","25.1800"
"2018/05/16","24.9400","8539773.0000","24.8300","25.0600","24.7000"
"2018/05/15","24.7500","7364171.0000","24.6900","24.8100","24.6150"
"2018/05/14","24.7300","6637979.0000","24.7500","24.7600","24.4700"
"2018/05/11","24.5700","4479668.0000","24.3000","24.7550","24.2900"
"2018/05/10","24.3600","4833810.0000","24.5000","24.8000","24.3500"
"2018/05/09","24.3600","5715240.0000","24.0500","24.4900","23.9600"
"2018/05/08","24.0900","6893301.0000","24.0600","24.2550","23.8800"
"2018/05/07","23.9800","9364077.0000","24.1700","24.4864","23.8850"
"2018/05/04","24.1400","6291845.0000","23.8000","24.3899","23.7610"
"2018/05/03","23.8700","12001150.0000","24.4500","24.4500","23.7200"
"2018/05/02","24.5500","10819180.0000","24.3100","24.8000","23.6100"
"2018/05/01","24.7600","10722560.0000","25.0600","25.3200","24.3000"
"2018/04/30","25.1900","12105220.0000","25.6800","26.0353","25.1300"
"2018/04/27","25.5200","7951326.0000","25.5100","25.7600","25.4600"
"2018/04/26","25.6300","9688671.0000","25.6400","25.8400","25.4400"
"2018/04/25","25.6300","8536453.0000","25.2500","25.7200","25.1800"
"2018/04/24","25.3800","13809930.0000","24.8200","25.6100","24.8200"
"2018/04/23","24.7900","11512720.0000","24.2600","24.8700","24.0300"
"2018/04/20","24.1200","16220940.0000","24.5900","25.4200","23.9900"
"2018/04/19","24.1800","7828901.0000","24.3500","24.5350","24.1200"
"2018/04/18","24.5800","8430288.0000","24.5900","25.0650","24.5200"
"2018/04/17","24.2300","5438647.0000","24.2900","24.4700","24.1750"
"2018/04/16","24.1700","5972964.0000","23.9300","24.4200","23.8335"
"2018/04/13","23.7300","5331343.0000","23.7500","23.8600","23.4800"
"2018/04/12","23.6000","7758387.0000","23.5600","23.8300","23.4650"
"2018/04/11","23.4800","8517393.0000","23.3500","23.7400","23.2448"
"2018/04/10","23.4600","8643447.0000","23.6000","23.7200","23.3700"
"2018/04/09","23.5400","8041392.0000","23.8300","23.8950","23.5400"
"2018/04/06","23.7700","8747024.0000","23.6700","24.1300","23.6600"
"2018/04/05","23.8100","7062064.0000","24.1700","24.2600","23.7600"
"2018/04/04","24.0800","8731276.0000","23.2200","24.2250","23.1500"
"2018/04/03","23.5900","7053626.0000","23.3900","23.7900","23.2600"
"2018/04/02","23.2800","8208067.0000","23.9200","23.9500","23.1450"
"2018/03/29","23.9400","6646287.0000","23.7900","24.0350","23.7300"
"2018/03/28","23.6200","8650396.0000","23.4700","24.0500","23.4700"
"2018/03/27","23.4700","6866442.0000","23.9500","24.1350","23.4250"
"2018/03/26","23.8700","8624149.0000","23.4800","23.9100","23.2600"
"2018/03/23","23.2800","17844090.0000","24.2700","24.3100","23.2441"
"2018/03/22","23.3900","11610310.0000","23.3000","23.5350","23.0500"
"2018/03/21","23.4500","6083262.0000","23.3800","23.8000","23.3700"
"2018/03/20","23.4100","6614114.0000","23.3000","23.5200","23.1400"
"2018/03/19","23.1600","10447820.0000","23.5800","23.9800","23.1100"
"2018/03/16","23.6900","13575570.0000","23.6800","23.9400","23.4500"
"2018/03/15","23.6300","8444181.0000","23.6100","23.9600","23.5100"
"2018/03/14","23.4400","13763470.0000","23.9900","23.9900","23.4100"
"2018/03/13","24.0100","10956190.0000","24.0300","24.3900","23.9200"
"2018/03/12","23.9900","18463610.0000","23.7800","24.1600","23.4000"
"2018/03/09","24.0800","22779460.0000","23.1000","24.1000","22.8800"
"2018/03/08","22.9800","61582070.0000","24.5000","24.8200","22.8500"
"2018/03/07","26.2300","22104950.0000","27.6700","27.6899","26.0200"
"2018/03/06","28.0100","8667130.0000","27.8800","28.2900","27.7900"
"2018/03/05","27.9900","9746409.0000","27.2900","28.0100","27.2700"
"2018/03/02","27.3500","8603899.0000","27.2400","27.6210","26.9600"
"2018/03/01","27.4600","8547983.0000","27.2900","27.8500","27.1000"
"2018/02/28","27.1200","8333170.0000","27.4900","27.6200","27.1200"
"2018/02/27","27.2700","6757381.0000","27.9000","28.1000","27.2700"
"2018/02/26","27.8500","7044153.0000","27.5000","28.0200","27.4000"
"2018/02/23","27.4200","5760275.0000","27.3600","27.5300","27.1800"
"2018/02/22","27.2200","10635010.0000","27.6400","27.6600","26.9100"
"2018/02/21","27.4100","9844406.0000","27.6700","28.0250","27.2800"
"2018/02/20","27.4900","12437690.0000","27.8100","28.0950","27.2200"
"2018/02/16","28.6900","5985653.0000","28.6400","29.0750","28.5700"
"2018/02/15","28.7900","6133393.0000","28.6200","28.9300","28.3250"
"2018/02/14","28.4000","8714921.0000","27.8500","28.6700","27.7700"
"2018/02/13","28.1200","7825055.0000","27.1700","28.2100","27.1400"
"2018/02/12","27.2000","10821520.0000","27.8700","27.8800","27.0200"
"2018/02/09","27.6600","10267120.0000","27.8200","28.0400","26.6300"
"2018/02/08","27.5700","12076700.0000","28.8000","28.9000","27.5200"
"2018/02/07","28.9000","6717790.0000","29.0500","29.4600","28.8350"
"2018/02/06","29.0700","11767390.0000","27.9200","29.2200","27.1800"
"2018/02/05","28.4700","14249770.0000","28.9800","29.5400","28.2500"
"2018/02/02","29.3400","7693232.0000","30.0100","30.1250","29.3100"
"2018/02/01","30.2100","5463704.0000","30.2100","30.7000","30.0750"
"2018/01/31","30.3600","11497090.0000","30.8400","31.0900","30.2100"
"2018/01/30","30.8300","11287430.0000","31.0000","31.4536","30.7300"
"2018/01/29","31.3400","13223630.0000","30.6400","31.4050","30.5400"
"2018/01/26","30.8800","11664150.0000","30.2600","30.8851","30.0500"
"2018/01/25","30.2600","16522200.0000","30.3500","30.4600","29.7100"
"2018/01/24","29.4800","13065220.0000","29.4500","29.8700","29.1450"
"2018/01/23","29.3100","10563790.0000","29.6200","29.6300","29.0150"
"2018/01/22","29.6300","9210783.0000","29.6500","29.7228","29.1600"
"2018/01/19","29.7200","9469736.0000","29.1600","29.8200","28.9200"
