"","year","month","PRCP"
"1",2000,5,2.62
"2",2000,8,0.59
"3",2000,12,1.27
"4",2001,2,1.44
"5",2001,4,1.83
"6",2001,5,0.88
"7",2001,7,1.32
"8",2001,9,0.91
"9",2001,10,0.87
"10",2001,12,1.83
"11",2002,6,1.92
"12",2002,9,2.84
"13",2003,2,0.25
"14",2003,6,0.55
"15",2003,7,0.25
"16",2003,9,1.07
"17",2004,5,2.53
"18",2004,7,1.57
"19",2004,8,1.71
"20",2004,9,0.98
"21",2004,10,2.11
"22",2004,11,0.03
"23",2004,12,0.78
"24",2005,2,0.36
"25",2005,4,1.15
"26",2005,5,3.83
"27",2005,6,3.18
"28",2005,7,0.46
"29",2005,9,2.56
"30",2005,10,1.88
"31",2006,3,0.91
"32",2006,4,1.62
"33",2006,5,0.77
"34",2006,6,1.27
"35",2006,7,0.66
"36",2006,8,0.71
"37",2006,9,0.8
"38",2006,11,1.34
"39",2007,3,0.23
"40",2007,4,1.11
"41",2007,5,0.68
"42",2007,6,1.71
"43",2007,7,1.51
"44",2007,8,1.39
"45",2007,9,1.5
"46",2007,10,3.17
"47",2007,11,0.89
"48",2008,5,2.36
"49",2008,6,0.6
"50",2008,7,0.86
"51",2008,8,0.5
"52",2008,9,1.21
"53",2008,10,1.14
"54",2008,11,1.77
"55",2009,4,2.58
"56",2009,5,1.93
"57",2009,8,1.72
"58",2009,9,0.5
"59",2009,10,1.94
"60",2009,11,0.3
"61",2009,12,1.03
"62",2010,1,1.18
"63",2010,3,0.85
"64",2010,6,2.64
"65",2010,7,0.63
"66",2010,8,1.56
"67",2010,9,0.95
"68",2010,11,3.78
"69",2010,12,2.56
"70",2011,8,1.25
"71",2011,10,1.27
"72",2012,2,0
"73",2012,6,0.52
"74",2012,8,0.93
"75",2013,6,0.23
"76",2013,7,1.26
"77",2013,8,0.67
"78",2013,10,1.85
"79",2013,11,1.4
"80",2013,12,1.16
"81",2014,1,1.56
"82",2014,4,1.65
"83",2014,5,0.73
"84",2014,6,1.59
"85",2014,7,0.34
"86",2014,8,3.87
"87",2014,9,3.48
"88",2014,10,0.13
"89",2014,12,2.02
"90",2015,1,0.94
"91",2015,2,0.88
"92",2015,3,0.27
"93",2015,6,1.46
"94",2015,7,1.9
"95",2015,8,1.52
"96",2015,9,1.63
"97",2015,10,1.76
"98",2015,11,1.11
"99",2015,12,1.83
"100",2016,2,0.21
"101",2016,3,2.37
"102",2016,4,2.35
"103",2016,6,0.8
"104",2016,7,0.49
"105",2016,8,0.35
"106",2016,9,3.49
"107",2016,10,4.99
"108",2016,11,0.71
"109",2017,8,0.69
