STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/1/2000,,,,0,0,0,33,4,21
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/2/2000,,,,0.2,3.5,4,32,16,20
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/3/2000,,,,0,0.5,4,28,14,18
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/4/2000,,,,0,0,4,30,12,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/5/2000,,,,0.03,1,5,35,16,24
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/6/2000,,,,0,0,5,32,9,14
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/7/2000,,,,0.02,0.3,5,24,15,19
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/8/2000,,,,0,0,5,29,14,21
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/9/2000,,,,0.02,1,6,33,13,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/10/2000,,,,0.02,1,5,35,22,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/11/2000,,,,0.11,0.5,4,43,25,38
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/12/2000,,,,0.09,0.3,2,41,19,25
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/13/2000,,,,0,0,2,32,11,20
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/14/2000,,,,0,0,2,35,18,23
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/15/2000,,,,0,0,2,42,21,33
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/16/2000,,,,0.02,0,1,39,28,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/17/2000,,,,0.02,0,0,48,20,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/18/2000,,,,0,0,0,37,20,20
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/19/2000,,,,0.26,0,0,34,19,30
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/20/2000,,,,0,0,0,39,26,26
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/21/2000,,,,0.08,0,0,38,26,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/22/2000,,,,0,0,0,36,22,23
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/23/2000,,,,0,0,0,33,16,16
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/24/2000,,,,0.11,1,1,34,15,28
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/25/2000,,,,0.2,0,0,33,23,33
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/26/2000,,,,0,0,0,39,27,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/27/2000,,,,0,0,0,35,16,22
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/28/2000,,,,0,0,0,30,12,20
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/29/2000,,,,0,0,0,25,15,19
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/30/2000,,,,0,0,0,27,5,10
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",1/31/2000,,,,0,0,0,30,1,17
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/1/2000,,,,0.02,0.5,1,29,14,22
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/2/2000,,,,0,0,0,36,19,23
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/3/2000,,,,0,0,0,46,19,21
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/4/2000,,,,0,0,0,43,19,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/5/2000,,,,0,0,0,45,23,30
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/6/2000,,,,0,0,0,45,20,22
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/7/2000,,,,0,0,0,46,20,24
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/8/2000,,,,0,0,0,45,21,25
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/9/2000,,,,0.07,0,0,50,24,35
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/10/2000,,,,0.01,0,0,48,29,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/11/2000,,,,0,0,0,45,27,34
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/12/2000,,,,0.08,0,0,42,29,33
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/13/2000,,,,0,0,0,41,27,30
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/14/2000,,,,0.25,0,0,39,27,36
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/15/2000,,,,0.08,0,0,50,29,32
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/16/2000,,,,0,0,0,41,24,27
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",2/17/2000,,,,0.05,1,1,37,25,30
